,query,_id,_score,symbol,notfound
184,ENSG00000123405,4778,24.349392,NFE2,
185,ENSG00000167460,7171,24.756824,TPM4,
186,ENSG00000171051,2357,25.299076,FPR1,
187,ENSG00000237541,3118,25.303558,HLA-DQA2,
188,ENSG00000105048,7138,25.303558,TNNT1,
189,ENSG00000170956,1084,24.761631,CEACAM3,
190,ENSG00000100427,23209,25.303984,MLC1,
191,ENSG00000173442,254102,25.296564,EHBP1L1,
192,ENSG00000271614,ENSG00000271614,26.12694,ATP2B1-AS1,
193,ENSG00000103154,54550,25.296564,NECAB2,
194,ENSG00000128218,29802,25.299076,VPREB3,
195,ENSG00000196139,8644,24.76163,AKR1C3,
196,ENSG00000198467,7169,25.303982,TPM2,
197,ENSG00000123384,4035,24.356537,LRP1,
198,ENSG00000128266,2781,25.303558,GNAZ,
199,ENSG00000152104,5784,24.761211,PTPN14,
200,ENSG00000107438,9124,25.303984,PDLIM1,
201,ENSG00000204420,80739,25.299076,MPIG6B,
202,ENSG00000002933,55365,24.761679,TMEM176A,
203,ENSG00000179344,3119,24.349392,HLA-DQB1,
204,ENSG00000137818,6176,24.754364,RPLP1,
205,ENSG00000118997,56171,25.299124,DNAH7,
206,ENSG00000116017,1820,24.35181,ARID3A,
207,ENSG00000108960,23531,25.303984,MMD,
208,ENSG00000063015,124925,25.303558,SEZ6,
209,ENSG00000142669,83442,24.76163,SH3BGRL3,
210,ENSG00000267519,ENSG00000267519,26.12737,MIR23AHG,
211,ENSG00000018280,6556,24.356588,SLC11A1,
212,ENSG00000204424,259215,25.299076,LY6G6F,
213,ENSG00000034510,9168,25.304031,TMSB10,
214,ENSG00000103187,23406,25.303984,COTL1,
215,ENSG00000148180,2934,24.756824,GSN,
216,ENSG00000269976,ENSG00000269976,26.127419,,
217,ENSG00000124731,54210,25.299124,TREM1,
218,ENSG00000260725,ENSG00000260725,26.127375,,
219,ENSG00000104904,4946,25.299124,OAZ1,
220,ENSG00000230910,ENSG00000230910,26.127375,,
221,ENSG00000101190,10732,25.299124,TCFL5,
222,ENSG00000126883,8021,24.761631,NUP214,
223,ENSG00000184451,2826,24.761631,CCR10,
224,ENSG00000186603,84842,25.299124,HPDL,
225,ENSG00000019169,8685,25.303984,MARCO,
226,ENSG00000185507,3665,25.296564,IRF7,
227,ENSG00000085733,2017,24.349392,CTTN,
228,ENSG00000110203,2352,24.761679,FOLR3,
229,ENSG00000125538,3553,24.351852,IL1B,
230,ENSG00000177606,3725,24.349392,JUN,
231,ENSG00000142046,641649,25.303984,TMEM91,
232,ENSG00000135218,948,24.756824,CD36,
233,ENSG00000158050,1844,24.356588,DUSP2,
234,ENSG00000119900,79627,25.303558,OGFRL1,
235,ENSG00000137440,9982,25.299124,FGFBP1,
236,ENSG00000109475,6164,24.756868,RPL34,
237,ENSG00000242553,ENSG00000242553,26.11972,,
238,ENSG00000104921,2208,24.761631,FCER2,
239,ENSG00000108518,5216,24.761631,PFN1,
240,ENSG00000101336,3055,24.761631,HCK,
241,ENSG00000166523,26253,24.756824,CLEC4E,
242,ENSG00000117281,11126,24.761211,CD160,
243,ENSG00000165029,19,24.349392,ABCA1,
244,ENSG00000162367,6886,24.754364,TAL1,
245,ENSG00000101856,10857,24.761679,PGRMC1,
246,ENSG00000000460,55732,25.304031,C1orf112,
247,ENSG00000166333,3611,24.756824,ILK,
248,ENSG00000144642,27303,24.756868,RBMS3,
249,ENSG00000122986,84329,25.303558,HVCN1,
250,ENSG00000084207,2950,24.356537,GSTP1,
251,ENSG00000242574,3109,24.76163,HLA-DMB,
252,ENSG00000088827,6614,25.296564,SIGLEC1,
253,ENSG00000262098,ENSG00000262098,26.11972,,
254,ENSG00000150201,53828,25.303982,FXYD4,
255,ENSG00000150687,11098,25.303982,PRSS23,
256,ENSG00000167680,10501,25.303558,SEMA6B,
257,ENSG00000134548,80763,25.303558,SPX,
258,ENSG00000148498,56288,24.356588,PARD3,
259,ENSG00000105711,6324,25.303984,SCN1B,
260,ENSG00000206503,3105,25.303984,HLA-A,
261,ENSG00000186205,64757,25.299076,MTARC1,
262,ENSG00000234745,3106,25.299076,HLA-B,
263,ENSG00000179294,,,,True
264,ENSG00000229961,ENSG00000229961,26.12694,,
265,ENSG00000130202,5819,24.761631,NECTIN2,
266,ENSG00000165949,3429,25.303982,IFI27,
267,ENSG00000142405,91662,25.303982,NLRP12,
268,ENSG00000269404,6689,25.303982,SPIB,
269,ENSG00000140968,3394,24.756824,IRF8,
270,ENSG00000103196,83716,24.761211,CRISPLD2,
271,ENSG00000143184,6375,25.299076,XCL1,
272,ENSG00000245532,283131,24.35613,NEAT1,
273,ENSG00000186350,6256,24.356588,RXRA,
274,ENSG00000198712,4513,24.761679,COX2,
275,ENSG00000272053,,,,True
276,ENSG00000233968,101928834,26.122366,LOC101928834,
277,ENSG00000172159,257019,24.756868,FRMD3,
278,ENSG00000125740,2354,24.754364,FOSB,
279,ENSG00000101057,4605,24.754364,MYBL2,
280,ENSG00000160888,9592,25.296564,IER2,
281,ENSG00000163191,6282,24.754364,S100A11,
282,ENSG00000137154,6194,24.356588,RPS6,
283,ENSG00000226125,151475,25.303558,LINC01907,
284,ENSG00000005249,5577,25.303558,PRKAR2B,
285,ENSG00000259207,3690,24.756824,ITGB3,
286,ENSG00000185245,2811,24.756824,GP1BA,
287,ENSG00000115956,5341,25.303984,PLEK,
288,ENSG00000137992,1629,24.756868,DBT,
289,ENSG00000213231,9623,25.303558,TCL1B,
290,ENSG00000206172,3039,24.028452,HBA1,
291,ENSG00000247950,100533182,25.304031,SEC24B-AS1,
292,ENSG00000196557,8912,25.299076,CACNA1H,
293,ENSG00000143995,4211,25.299076,MEIS1,
294,ENSG00000170271,10826,25.303558,FAXDC2,
295,ENSG00000226806,100507600,24.761631,LCT-AS1,
296,ENSG00000187098,4286,24.033133,MITF,
297,ENSG00000112799,9450,25.296564,LY86,
298,ENSG00000165702,8328,24.761631,GFI1B,
299,ENSG00000122786,800,25.304031,CALD1,
300,ENSG00000172116,926,24.761211,CD8B,
301,ENSG00000100292,3162,24.35613,HMOX1,
302,ENSG00000245059,ENSG00000245059,26.12694,,
303,ENSG00000136630,3142,25.303984,HLX,
304,ENSG00000173762,924,24.756868,CD7,
305,ENSG00000166147,2200,24.756868,FBN1,
306,ENSG00000204257,3108,25.304031,HLA-DMA,
307,ENSG00000134317,29841,25.304031,GRHL1,
308,ENSG00000170345,2353,24.349392,FOS,
309,ENSG00000127252,57110,25.296564,PLAAT1,
310,ENSG00000177692,54943,25.303982,DNAJC28,
311,ENSG00000074964,55160,25.303982,ARHGEF10L,
312,ENSG00000260742,ENSG00000260742,26.122316,ITPRID2-DT,
313,ENSG00000135929,1593,24.756824,CYP27A1,
314,ENSG00000267582,ENSG00000267582,26.127375,,
315,ENSG00000124762,1026,24.028452,CDKN1A,
316,ENSG00000169756,3987,24.756868,LIMS1,
317,ENSG00000185198,400668,25.303558,PRSS57,
318,ENSG00000149781,83706,24.761631,FERMT3,
319,ENSG00000227589,ENSG00000227589,26.127375,TP73-AS3,
320,ENSG00000149328,89944,25.303984,GLB1L2,
321,ENSG00000131981,3958,24.033133,LGALS3,
322,ENSG00000163815,7123,25.303982,CLEC3B,
323,ENSG00000177575,9332,24.76163,CD163,
324,ENSG00000111796,3820,25.304031,KLRB1,
325,ENSG00000175538,10008,24.754364,KCNE3,
326,ENSG00000164403,134549,25.296564,SHROOM1,
327,ENSG00000267547,ENSG00000267547,26.12737,,
328,ENSG00000259001,ENSG00000259001,26.12737,,
329,ENSG00000100316,6122,25.303558,RPL3,
330,ENSG00000197576,3201,25.303558,HOXA4,
331,ENSG00000100351,9402,25.303558,GRAP2,
332,ENSG00000145425,6189,24.356588,RPS3A,
333,ENSG00000140988,6187,24.349392,RPS2,
334,ENSG00000101440,434,24.761679,ASIP,
335,ENSG00000147604,6129,24.349392,RPL7,
336,ENSG00000152154,130733,25.303984,TMEM178A,
337,ENSG00000174106,23592,25.303984,LEMD3,
338,ENSG00000099999,200312,25.303984,RNF215,
339,ENSG00000085514,29992,25.296564,PILRA,
340,ENSG00000120129,1843,24.349392,DUSP1,
341,ENSG00000205336,9289,25.299076,ADGRG1,
342,ENSG00000095303,5742,25.299076,PTGS1,
343,ENSG00000184730,55911,25.299124,APOBR,
344,ENSG00000104903,4066,25.299124,LYL1,
345,ENSG00000133317,85329,24.761631,LGALS12,
346,ENSG00000245261,ENSG00000245261,26.127375,,
